gamma,total_cost,gen_energy,usage_mass,switching_sg,switching_pg,dist_mip_pg,dist_mip_sg,peak_pg
0.001,78.0564816661,118.184198,2.830918,5.661836,211.603851,143.184198,7.20774,5
0.003,78.0621435021,118.184198,2.830918,5.661836,211.603851,143.184198,7.20774,5
0.01,67.760337044764,118.184198,3.205032,6.410064,211.603851,143.184198,7.581854,5
0.03,72.900652450427,118.184198,3.205032,6.410064,211.603851,143.184198,8.11796,5
0.1,46.06699625216,118.184198,4.211436,7.221554,211.603851,143.184198,9.124364,5
0.3,46.54888805216,118.184198,3.010118,6.020236,211.603851,143.184198,7.923046,5
1,22.4671446,118.178936,3.010118,5.72266,211.593327,143.178936,5.712542,5
3,25.2414772,118.161122,2,4,211.557699,143.161122,5,5
10,11.8161122,118.161122,0,0,211.557699,143.161122,5,5
100,11.8161122,118.161122,0,0,211.557699,143.161122,5,5
1000,11.8161122,118.161122,0,0,211.557699,143.161122,5,5
