beta,total_cost,gen_energy,usage_mass,switching_sg,switching_pg,dist_mip_pg,dist_mip_sg,peak_pg
0.001,84.67695255486,32.193094,6.438619,6.877238,34.386188,12.142504,2.428501,5
0.003,84.69070703086,32.193094,6.438619,6.877238,34.386188,12.142504,2.428501,5
0.01,84.73884769686,32.193094,6.438619,6.877238,34.386188,12.142504,2.428501,5
0.03,84.87639245686,32.193094,6.438619,6.877238,34.386188,12.142504,2.428501,5
0.1,85.26130577224,30.322522,6.064505,6.12901,30.645044,10.271932,2.054387,5
0.3,86.09342381252,27.309943,5.461989,4.923978,24.619886,7.259353,1.451871,5
1,87.632827949585,24.324462,5.217601,3.010118,18.577668,4.273872,1.207483,5
3,90.577954338846,20,4,2,10,5,1,5
10,104.577954338846,20,4,2,10,5,1,5
100,84.855246183094,0,0,0,0,25,5,0
1000,84.855246183094,0,0,0,0,25,5,0
